Verdict,Rank,What to do,Follow,Why it matters,Where the work is,Notes
SKIP FOR NOW,28,Several offices under one account,Dialpad,Large architecture change. Locations already cover most of the need,-,Revisit only if customers ask for separate billing per office
SKIP FOR NOW,29,Caller ID name (CNAM),Dialpad,"Carrier-dependent, US and Canada only, 7-10 days to take effect",-,Slow and outside our control however well we build it
SKIP FOR NOW,30,Local area code when calling out,Dialpad,"US only, paid add-on, carrier-dependent",-,
SKIP FOR NOW,31,Emergency address that follows a travelling user,Dialpad,"US and Canada, desktop app only",-,Do the basic emergency address first (item 3)
SKIP FOR NOW,32,Cost centres for reporting,Dialpad,Tags for reporting only - changes no invoice or total,-,Pure reporting. No customer is blocked by this
SKIP FOR NOW,33,Bring your own encryption key,Genesys,Enterprise checkbox item,-,"Build when an RFP demands it, not before"
SKIP FOR NOW,34,One-off purge of existing data,Dialpad,Cannot be undone. Dangerous before retention itself works,-,"Build after item 10, never before"
SKIP FOR NOW,35,Support access pairing link,Genesys,This is for a vendor getting into a customer account - you ARE the vendor,-,Not applicable to your position
SKIP FOR NOW,36,Copy settings from another office / bulk office switches,Dialpad,Both need several offices to exist first,-,Depends on item 28
SKIP FOR NOW,37,Automated 'delete my data' request pipeline,Genesys,Handle these by hand until the volume justifies a system,-,
